LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,DebtToIncomeRatio,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance,CreditScore
2258.22,108073.68,8738.14,9,0,14,1323.25,14.69,233,1,0,188.85,934.97,720
2080.51,108073.68,8738.14,9,0,14,1323.25,14.69,237,1,0,366.55,757.26,739
891.32,13056.35,1177.03,18,1,15,562.05,51.66,327,1,8.14,78.43,321.13,788
853.64,13056.35,1177.03,18,1,13,562.05,51.66,331,1,8.14,116.11,283.45,737
876.53,13056.35,1177.03,18,1,15,562.05,51.66,333,1,8.14,93.22,306.34,824
2107.42,46586.79,3823.23,27,5,8,1740.2,44.82,73,1,142.53,285.11,224.69,478
1531,41995.64,3416.64,7,4,11,1072.63,30.65,183,1,87.54,143.29,370.83,708
1593.59,41995.64,3416.64,7,4,11,1072.63,30.65,188,1,87.54,80.7,433.42,686
1561.95,41995.64,3416.64,7,4,10,1072.63,30.65,190,1,87.54,142.34,401.78,635
346.55,20287.13,1626.59,11,0,15,19.94,1.18,310,1,0,126.05,326.61,838
4765.08,76879.4,6214.62,23,9,17,4070.63,63.54,104,1,388.39,197.01,306.06,824
80852.13,76879.4,6214.62,23,9,17,4070.63,63.54,106,1,76393,84.57,388.5,733
4558.01,76879.4,6214.62,23,9,17,4070.63,63.54,109,1,388.39,424.08,98.99,801
3597.85,19594.29,1834.86,17,9,16,3212.16,196.72,20,1,146.71,67.79,238.98,507
629.22,16776.02,1622,10,4,19,244.46,17.49,353,0,28.13,17.44,356.63,673
590.1,16776.02,1622,10,4,19,244.46,17.49,356,1,28.13,106.55,317.51,506
540.27,16776.02,1622,10,4,19,244.46,17.49,357,1,28.13,156.39,267.68,492
644.32,16776.02,1622,10,4,21,244.46,17.49,359,1,28.13,42.33,371.73,408
541.5,16776.02,1622,10,4,19,244.46,17.49,360,1,28.13,135.15,268.91,327
1642.77,27881.32,2077.44,18,3,11,1264.51,54.42,255,0,37.2,99.48,341.06,746
1653.57,27881.32,2077.44,18,3,14,1264.51,54.42,257,0,37.2,78.68,351.86,692
1679.38,27881.32,2077.44,18,3,11,1264.51,54.42,260,0,37.2,42.87,377.67,570
3773.61,62509.84,5159.15,28,9,25,3149.82,60.47,117,1,354.42,132.13,269.37,744
3851.24,62509.84,5159.15,28,9,25,3149.82,60.47,123,1,354.42,64.5,347,675
59966.11,62509.84,5159.15,28,9,25,3149.82,60.47,124,1,56799,434.2,17.29,741
2800.28,9106.34,555.86,9,6,18,2485.16,327.49,213,0,39.38,20.47,275.74,641
2769.18,9106.34,555.86,9,6,18,2485.16,327.49,214,1,39.38,51.57,244.64,836
2277.39,59412.6,4708.05,5,5,9,1733,35.00,90,1,142.31,176.41,402.08,708
2303.24,59412.6,4708.05,5,5,9,1733,35.00,91,0,142.31,150.57,427.93,796
2467.51,43623.84,3592.32,23,6,21,1924.15,52.93,122,1,142.37,55.87,400.99,511
2468.27,43623.84,3592.32,23,6,17,1924.15,52.93,123,0,142.37,75.11,401.75,487
3471.45,15258.95,1508.58,1,0,5,1075.37,84.57,280,0,2081,125.78,315.08,626
1349.65,15258.95,1508.58,1,0,5,1075.37,84.57,282,0,0,166.58,274.28,611
1372.84,15258.95,1508.58,1,0,5,1075.37,84.57,286,0,0,143.39,297.47,614
617.54,21206.48,1631.21,8,0,12,231.87,13.12,231,0,0,37.45,385.67,579
830.6,13347.84,1064.32,19,2,19,536.5,48.23,267,1,15.76,102.34,278.34,805
870.2,31902.65,2690.55,9,1,20,413.34,15.55,264,0,18.29,92.19,438.57,799
841.93,31902.65,2690.55,9,1,17,413.34,15.55,265,0,18.29,100.46,410.3,835
1492.71,15341.9,1035.49,3,1,12,1152.71,90.16,250,0,6.98,13.55,333.02,644
1431.84,15341.9,1035.49,3,1,8,1152.71,90.16,251,0,6.98,94.42,272.15,648
1479.88,15341.9,1035.49,3,1,10,1152.71,90.16,252,0,6.98,66.37,320.19,821
985.75,21834.84,1770.57,5,3,10,597.77,32.85,323,0,50.87,49.07,337.11,531
979.03,72050.92,6173.24,4,2,10,297.94,4.96,322,0,88.94,196.23,592.15,605
979.59,72050.92,6173.24,4,2,7,297.94,4.96,328,0,88.94,185.68,592.71,551
1669.21,107118.96,9104.58,5,3,9,1049.33,11.76,365,1,139.57,550.58,480.31,737
1655.49,107118.96,9104.58,5,3,8,1049.33,11.76,368,1,139.57,594.3,466.59,758
51199.72,113630.4,9719.2,5,0,5,115.38,1.22,325,0,50457,634.58,627.34,535
1197.1,113630.4,9719.2,5,0,6,115.38,1.22,326,0,0,130.2,1081.72,613
1198.88,113630.4,9719.2,5,0,8,115.38,1.22,330,0,0,138.42,1083.5,588
1140.47,23107.74,1983.65,10,1,20,859.23,44.62,337,1,17.6,197.12,263.64,752
1036.29,121151.4,10239.95,1,2,6,42.69,0.42,346,0,101.4,280.39,892.2,727
893.78,121151.4,10239.95,1,2,9,42.69,0.42,347,0,101.4,422.9,749.69,666
986.93,33768.35,3065.03,10,2,9,535.64,19.03,214,0,29.06,105.22,422.23,759
759.32,33768.35,3065.03,10,2,9,535.64,19.03,217,0,29.06,372.82,194.62,652
2573.7,61989.72,5191.81,26,6,21,1881.13,36.42,225,1,264.76,76.61,427.81,346
2545.6,61989.72,5191.81,26,6,18,1881.13,36.42,227,0,264.76,114.71,399.71,453
2536.68,61989.72,5191.81,26,6,1606,1881.13,36.42,228,1,264.76,103.63,390.79,354
2366.47,61989.72,5191.81,26,6,18,1881.13,36.42,232,1,264.76,293.84,220.58,410
2087.32,123181.16,10391.1,9,0,11,877.78,8.55,297,0,0,69.56,1209.54,824
1127.11,123181.16,10391.1,9,0,8,877.78,8.55,301,0,0,1069.78,249.33,801
1183.14,65312.73,5255.73,20,1,20,466.4,8.57,226,0,32.17,58.83,684.57,850
1030.65,65312.73,5255.73,20,1,20,466.4,8.57,228,0,32.17,211.33,532.08,562
1082.09,65312.73,5255.73,20,1,20,466.4,8.57,231,0,32.17,159.88,583.52,807
1684.16,33683.95,3077,19,4,17,1390.77,49.55,271,0,111.91,304.31,181.48,754
2056.85,32019.26,2610.27,15,2,11,1697.41,63.61,168,1,47.78,191.59,311.66,399
2130.19,32019.26,2610.27,15,2,11,1697.41,63.61,173,1,47.78,88.25,385,303
1557.69,22308.01,1593,6,3,6,1228.86,66.10,339,1,50.81,110.47,278.02,830
1573.53,22308.01,1593,6,3,9,1228.86,66.10,340,1,50.81,104.63,293.86,680
1901.74,52210.26,4465.86,10,1,15,1276.23,29.33,390,0,24.3,81.08,601.21,793
1444.42,32228.67,2819.6,8,4,10,940.36,35.01,392,0,176.2,145.82,327.86,599
1604.13,108312.64,9060.05,7,2,16,787.15,8.72,383,0,169.6,339.03,647.38,336
2371.93,9676.16,900.35,31,6,15,2065.06,256.10,62,1,46.28,73.16,260.59,336
1282.74,64964.1,5199.68,1,0,17,896.63,16.56,313,0,0,423.86,386.11,655
1163.03,64964.1,5199.68,1,0,19,896.63,16.56,318,0,0,543.56,266.4,809
4558.52,20082.58,1540.55,33,5,17,4230.46,252.78,46,1,66.05,115.99,262.01,755
4608.69,20082.58,1540.55,33,5,20,4230.46,252.78,47,0,66.05,65.83,312.18,386
4576.28,20082.58,1540.55,33,5,17,4230.46,252.78,51,1,66.05,88.23,279.77,687
4570.63,20082.58,1540.55,33,5,20,4230.46,252.78,52,1,66.05,103.88,274.12,738
4553.85,20082.58,1540.55,33,5,17,4230.46,252.78,53,0,66.05,90.66,257.34,806
536.79,15706.81,1192.9,4,2,6,282.44,21.58,335,0,23.47,154.93,230.88,793
33812.07,15706.81,1192.9,4,2,9,282.44,21.58,336,0,33249,95.19,280.63,560
533.51,15706.81,1192.9,4,2,6,282.44,21.58,337,0,23.47,158.22,227.6,542
4142.33,60036.75,5279.06,34,5,18,3563.38,71.22,121,1,147.59,198.96,431.36,802
4177.99,60036.75,5279.06,34,5,18,3563.38,71.22,123,1,147.59,163.29,467.02,803
2579.87,33917.38,2505.95,28,5,9,1966.55,69.58,72,1,255.95,33.03,357.37,760
2547.26,33917.38,2505.95,28,5,9,1966.55,69.58,77,0,255.95,55.63,324.76,756
2485.35,121179.4,10202.28,8,3,13,1399.72,13.86,380,0,162.97,174.59,922.66,327
603.68,34676,3160.67,18,4,16,138.3,4.79,80,0,69.53,100.69,395.85,848
327.33,34676,3160.67,18,4,14,138.3,4.79,81,1,69.53,417.03,119.5,670
571.07,34676,3160.67,18,4,16,138.3,4.79,82,1,69.53,153.29,363.24,826
4489.62,8578.89,465.91,15,8,17,4194.67,586.74,95,1,46.26,41.64,248.69,431
4510.36,8578.89,465.91,15,8,14,4194.67,586.74,99,0,46.26,20.9,269.43,409
4480.32,8578.89,465.91,15,8,17,4194.67,586.74,100,1,46.26,20.94,239.39,331
1761.24,20434.15,1694.85,8,4,14,1393.23,81.82,205,0,61.45,41.47,306.56,650
1679.56,20434.15,1694.85,8,4,14,1393.23,81.82,210,0,61.45,173.15,224.88,704
3070.97,56400.18,4991.02,30,2,10,2582.73,54.95,209,1,56.78,300.86,431.46,391
2777.84,35497.94,3063.16,17,2,12,2284.86,77.24,75,1,39.33,83.33,453.65,415
2694.15,19796.08,1357.67,21,7,11,2399.46,145.45,116,1,68.07,131.07,226.62,430
2725.97,19796.08,1357.67,21,7,11,2399.46,145.45,117,1,68.07,99.26,258.44,430
986.34,108134.07,8779.17,15,0,19,198.06,2.20,289,1,0,349.64,788.28,690
861.42,108134.07,8779.17,15,0,1370,198.06,2.20,292,1,0,494.56,663.36,810
2389.37,103228.74,8729.4,12,0,12,1478.43,17.19,211,0,0,222,910.94,655
2386.73,103228.74,8729.4,12,0,10,1478.43,17.19,212,0,0,214.64,908.3,653
1868.2,43691.64,3747.97,16,2,17,1311.99,36.03,246,1,64.75,88.59,491.46,696
1699.31,43691.64,3747.97,16,2,15,1311.99,36.03,248,1,64.75,247.48,322.57,644
2378.04,28102.36,2209.86,24,6,14,2059.36,87.94,175,1,112.47,192.3,206.21,714
2464.37,28102.36,2209.86,24,6,11,2059.36,87.94,178,1,112.47,65.97,292.54,655
1588.4,18781.73,1628.14,25,2,12,1314.3,83.97,147,1,28.17,168.71,245.93,504
60696.12,18781.73,1628.14,25,2,13,1314.3,83.97,150,1,59019,61.82,362.82,790
1661.26,18781.73,1628.14,25,2,15,1314.3,83.97,152,1,28.17,65.85,318.79,475
1602.55,18781.73,1628.14,25,2,12,1314.3,83.97,153,1,28.17,164.56,260.08,356
1121.9,34336.3,2998.36,8,1,17,835.49,29.20,282,0,23.58,303.42,262.83,734
1395.93,34336.3,2722.81,8,1,19,835.49,29.20,284,0,299.13,304.94,261.31,805
1583.88,65586.32,5202.53,12,4,7,1434.88,26.25,382,0,120.06,661.25,28.94,595
1991.37,65586.32,5202.53,12,4,9,1434.88,26.25,383,0,120.06,213.76,436.43,525
2533.32,61922.67,5090.22,34,5,19,2270.42,44.00,127,1,182.86,526.12,80.04,386
34910.06,61922.67,5090.22,34,5,19,2270.42,44.00,129,0,32134,60.52,505.64,448
943.79,14468.23,1342.69,12,2,7,579.47,48.06,309,0,18.05,49.95,346.27,613
943.85,14468.23,1342.69,12,2,7,579.47,48.06,314,0,18.05,29.89,346.33,558
1588.05,41640.54,3466.05,8,1,21,1072.42,30.91,324,0,30.21,70.97,485.42,661
1571.53,41640.54,3466.05,8,1,18,1072.42,30.91,330,0,30.21,87.49,468.9,579
16088.49,73106.92,6309.24,4,1,12,900.37,14.78,371,0,14497,136.96,691.12,615
643.93,13395.25,1191.27,9,2,7,330.51,29.61,261,0,19.6,95.71,293.82,598
636.9,13395.25,1191.27,9,2,8,330.51,29.61,264,0,19.6,102.74,286.79,830
603.34,13395.25,1191.27,9,2,7,330.51,29.61,267,0,19.6,136.3,253.23,528
1467.63,44272,3798.33,4,2,7,990.27,26.84,226,0,70.92,162.48,406.44,511
888.77,58558.3,5098.86,10,0,1,272.17,5.58,204,0,0,143.29,616.6,611
761.97,58558.3,5098.86,10,0,2,272.17,5.58,206,0,0,280.09,489.8,616
68874.36,119014.2,10116.85,12,2,3,189.33,1.91,393,0,67857,245.23,828.03,567
2831.6,15993.33,1544.78,25,5,8,2447.8,183.66,239,0,43.58,10.68,340.22,461
2744.73,15993.33,1544.78,25,5,11,2447.8,183.66,240,1,43.58,137.55,253.35,404
2731.9,15993.33,1544.78,25,5,11,2447.8,183.66,246,1,43.58,160.38,240.52,518
3361.65,34848.04,2724,31,6,16,3020.66,104.02,70,1,101.02,221.41,239.97,760
3297.94,34848.04,2724,31,6,13,3020.66,104.02,72,1,101.02,285.12,176.26,469
3244.17,34848.04,2724,31,6,15,3020.66,104.02,73,1,101.02,338.89,122.49,409
1958.66,15724.73,1194.39,18,6,18,1653.25,126.16,182,1,49.57,94.04,255.84,346
1982.28,15724.73,1194.39,18,6,21,1653.25,126.16,183,1,49.57,80.41,279.46,786
1277.01,128427.2,10621.27,1,3,8,201.94,1.89,191,0,224.86,227.06,850.21,828
1330.1,128427.2,10621.27,1,3,8,201.94,1.89,193,0,224.86,173.97,903.3,672
1070.39,128427.2,10621.27,1,3,8,201.94,1.89,194,0,224.86,443.68,643.59,680
21694.91,128427.2,10621.27,1,3,8,201.94,1.89,195,0,21368,1002.3,124.97,633
2034.06,42755.64,3471.97,15,6,21,1486.46,41.72,82,1,157.94,49.6,389.66,475
2023.06,42755.64,3471.97,15,6,22,1486.46,41.72,83,1,157.94,50.6,378.66,686
1896.46,42755.64,3471.97,15,6,22,1486.46,41.72,84,0,157.94,227.2,252.06,333
2655.33,16685.02,1536.42,22,5,17,2298.18,165.29,116,1,35.19,66.5,321.96,843
2575.91,16685.02,1536.42,22,5,17,2298.18,165.29,117,1,35.19,165.91,242.54,510
2675.91,16685.02,1536.42,22,5,17,2298.18,165.29,119,1,35.19,65.91,342.54,358
2580.26,16685.02,1536.42,22,5,17,2298.18,165.29,122,0,35.19,161.56,246.89,434
1664.54,22157.27,1834.44,19,4,11,1345.58,72.87,146,1,64.04,154.48,254.92,758
3033.82,31155.48,2527.29,21,5,20,2598.3,100.08,234,1,76.92,57.22,358.6,377
2915.99,31155.48,2527.29,21,5,17,2598.3,100.08,235,1,76.92,215.04,240.77,374
3036.52,31155.48,2527.29,21,5,18,2598.3,100.08,236,1,76.92,54.51,361.3,413
3062.28,31155.48,2527.29,21,5,17,2598.3,100.08,237,1,76.92,38.76,387.06,339
299.74,66816.26,5630.02,10,0,9,143.87,2.58,401,0,0,697.13,155.87,720
1326.75,109364.08,9409.67,16,3,5,409.27,4.49,250,0,227.29,283.48,690.19,724
929.02,109364.08,9409.67,16,3,8,409.27,4.49,257,1,227.29,701.21,292.46,613
1925.58,58963.04,5058.59,4,0,5,1227.73,24.99,292,0,0,58.01,697.85,564
1857.86,58963.04,5058.59,4,0,4,1227.73,24.99,293,0,0,125.73,630.13,521
1789.39,58963.04,5058.59,4,0,7,1227.73,24.99,297,0,0,194.2,561.66,608
1940.43,58963.04,5058.59,4,0,7,1227.73,24.99,298,0,0,33.16,712.7,579
1999.03,55448.74,4735.73,12,1,15,1450.89,31.40,396,0,30.18,185.43,517.96,646
1546.9,135851.24,11418.94,18,2,18,695.12,6.14,295,1,206.56,550.11,645.22,828
1651.33,135851.24,11418.94,18,2,19,695.12,6.14,297,0,206.56,435.68,749.65,641
1904.36,135851.24,11418.94,18,2,18,695.12,6.14,298,0,206.56,172.66,1002.68,743
1814.93,135851.24,11418.94,18,2,19,695.12,6.14,301,0,206.56,282.08,913.25,702
1774.28,37655.98,3366,19,6,22,1256.83,40.05,145,1,155.24,69.15,362.21,382
1724.91,37655.98,3366,19,6,18,1256.83,40.05,147,1,155.24,118.52,312.84,510
1280.45,11911.29,1113.61,12,3,14,957.6,96.47,341,0,20.6,68.51,302.25,570
2748.85,59850.24,5156.52,17,3,14,2294.21,46.00,171,0,131.82,321.01,322.82,685
2666.9,59850.24,5156.52,17,3,11,2294.21,46.00,172,1,131.82,412.97,240.87,754
3009.61,59850.24,5156.52,17,3,14,2294.21,46.00,176,0,131.82,40.26,583.58,675
1608.7,12948.7,1297.06,5,4,7,1361.45,126.17,294,1,30.78,172.46,216.47,659
1721.52,12948.7,1297.06,5,4,13,1361.45,126.17,295,0,30.78,0,329.29,817
1531.73,15160.61,1335.38,7,4,3,1168.42,92.48,379,0,37.42,50.22,325.89,474
1480.64,15160.61,1335.38,7,4,3,1168.42,92.48,381,0,37.42,81.32,274.8,472
1470.97,15160.61,1335.38,7,4,0,1168.42,92.48,384,0,37.42,120.98,265.13,353
1502.36,15160.61,1335.38,7,4,3,1168.42,92.48,386,0,37.42,89.59,296.52,412
1536.41,83800.56,7269.38,5,2,13,836.69,11.98,242,1,117.35,277.22,582.37,747
1288.2,83800.56,7269.38,5,2,10,836.69,11.98,244,1,117.35,545.42,334.16,731
1499.09,83800.56,7269.38,5,2,11,836.69,11.98,248,1,117.35,344.54,545.05,312
572.75,29487.25,2162.27,16,3,19,160.14,6.52,331,1,65.63,43.62,346.98,819
738.67,29487.25,1984.34,16,3,20,160.14,6.52,334,0,243.56,55.63,334.97,777
707.12,29487.25,1984.34,16,3,23,160.14,6.52,336,1,243.56,137.18,303.42,819
1129.82,119643.12,10127.26,8,2,5,186.99,1.88,290,0,103.25,319.9,839.58,562
870.07,119643.12,10127.26,8,2,5,186.99,1.88,292,0,103.25,589.65,579.83,607
1195.19,119643.12,10127.26,8,2,5,186.99,1.88,295,0,103.25,254.53,904.95,624
813.11,36722.53,2933.21,4,0,11,328.05,10.72,352,0,0,48.26,485.06,740
649.56,36722.53,2933.21,4,0,12,328.05,10.72,353,0,0,241.81,321.51,780
841.67,62231.34,5006.95,17,2,1422,551.4,10.63,381,0,58.25,490.42,232.02,844
2140.1,116611.8,9836.65,15,3,16,1373.9,14.14,366,1,288.25,487.46,477.95,640
2107.34,14363.25,1092.94,19,7,4231,1758.22,146.89,163,1,75.22,40.17,273.9,490
2055.32,10203.99,1119.33,30,3,8,1710.59,201.17,64,1,16.58,57.21,328.15,800
2003.27,10203.99,1119.33,30,3,8,1710.59,201.17,67,1,16.58,109.26,276.1,475
4387,36787.58,3362.63,28,8,17,3840.92,125.29,15,1,133.27,30.18,412.81,355
2355.09,122543.56,10343.96,18,4,19,1302.42,12.75,336,0,349.48,231.73,703.19,827
2365.65,122543.56,10343.96,18,4,19,1302.42,12.75,342,0,349.48,211.16,713.75,729
889.85,31641.93,2610.83,7,3,12,583.6,22.13,239,0,60.34,244.83,245.91,732
1048.47,31641.93,2610.83,7,3,12,583.6,22.13,242,0,60.34,36.22,404.53,707
1010.6,31641.93,2610.83,7,3,12,583.6,22.13,244,0,60.34,84.09,366.66,406
3961.06,14538.09,1422.51,22,7,21,3609.22,297.91,156,1,60.22,50.41,291.62,402
1848.65,132848.88,10920.74,7,1,12,1041.91,9.41,268,0,55.88,575.34,750.86,626
1367.42,132848.88,10920.74,7,1,12,1041.91,9.41,269,0,55.88,1046.56,269.63,529
4599.88,45706.47,3640.87,25,5,13,4034.53,105.92,134,0,142.85,38.74,422.5,839
1751.13,10882.8,646.9,2,4,16,1452.88,160.20,319,0,19.16,56.44,279.09,539
1445.89,43354.77,3491.9,4,1,12,1159.33,32.09,197,0,29.92,352.63,256.64,551
570.45,34709.28,2997.44,5,2,0,104.98,3.63,324,0,51.4,124.28,414.07,570
946.97,30424.17,2835.35,14,4,13,519,20.47,196,0,65.04,125.57,362.93,705
831.72,30424.17,2835.35,14,4,12,519,20.47,199,0,65.04,240.82,247.68,718
2914.69,16590.27,1204.52,22,7,24,2547.85,184.29,194,1,52.68,43.61,314.16,714
585.04,35176.5,2815.38,8,4,20,234.65,8.00,189,1,104.7,221.14,245.69,672
701.82,35176.5,2815.38,8,4,18,234.65,8.00,192,1,104.7,84.37,362.47,776
2748.02,20091.86,1817.32,30,5,25,2509.78,149.90,109,0,72.8,233.5,165.44,632
2744.74,20091.86,1817.32,30,5,25,2509.78,149.90,110,1,72.8,236.77,162.16,815
369.72,89870.98,7346.25,3,3,8,48.11,0.64,315,0,192.15,693.02,129.46,702
901.16,89870.98,7346.25,3,3,8,48.11,0.64,318,0,192.15,131.58,660.9,774
960.58,89870.98,7346.25,3,3,5,48.11,0.64,319,0,192.15,62.16,720.32,782
1283.45,64969.05,5154.09,6,2,16,765.07,14.13,260,0,96.42,277.02,421.96,649
1425.52,64969.05,5154.09,6,2,16,765.07,14.13,261,0,96.42,104.96,564.03,844
1419.4,64969.05,5154.09,6,2,15,765.07,14.13,262,0,96.42,101.08,557.91,664
1378.89,64969.05,5154.09,6,2,2278,765.07,14.13,263,0,96.42,151.58,517.4,748
4382.27,45947.1,3843.93,31,7,20,3813.3,99.59,85,1,165.65,55.42,403.32,342
4296.35,16110477,3843.93,31,7,23,3813.3,0.28,87,1,165.65,171.34,317.4,408
4343.15,45947.1,3843.93,31,7,20,3813.3,99.59,92,1,165.65,94.55,364.2,792
2403.39,15350.03,998.17,34,3,14,2087.18,163.17,150,1,31.92,33.6,284.29,369
2419.44,15350.03,998.17,34,3,14,2087.18,163.17,153,1,31.92,27.55,300.34,827
305.11,54525.94,4655.83,10,4,9,157.1,3.46,260,0,131.08,607.58,16.93,637
772.29,54525.94,4655.83,10,4,9,157.1,3.46,265,1,131.08,110.4,484.11,801
1040.43,66190.34,5478.86,10,0,16,557.57,10.11,386,0,0,325.03,482.86,563
2448.68,19826.67,1805.22,33,5,13,2052.89,124.25,69,1,45.87,24.73,349.92,695
936.71,11249.15,984.43,12,1,11,612.08,65.29,310,0,8.09,53.81,316.54,622
949.39,11249.15,984.43,12,1,11,612.08,65.29,312,0,8.09,51.13,329.22,540
1473.81,45285.96,4022.83,12,2,14,1077.91,28.56,115,1,46.97,276.38,348.93,649
1656.9,45285.96,4022.83,12,2,13,1077.91,28.56,116,1,46.97,63.29,532.02,829
1444.48,5753875,4022.83,12,2,13,1077.91,0.22,117,1,46.97,315.72,319.6,735
2302.67,57877.95,4531.16,15,5,14,1805.92,37.44,234,1,204.47,226.36,292.28,389
2413.82,57877.95,4531.16,15,5,12,1805.92,37.44,237,1,204.47,95.22,403.43,722
2331,57877.95,4531.16,15,5,12,1805.92,37.44,238,1,204.47,178.04,320.61,386
1233.04,96780.03,8267,2,4,5,580.52,7.20,353,0,314.22,464.18,338.3,462
1459.25,96780.03,8267,2,4,5,580.52,7.20,359,0,314.22,197.96,564.51,365
1437.2,96780.03,8267,2,4,5,580.52,7.20,360,0,314.22,210.02,542.46,417
2003.7,17408.23,1397.69,16,6,13,1658.2,114.30,89,1,58.59,44.27,286.91,449
1564.53,7160.84,431.74,16,5,17,1285.23,215.38,235,1,25.07,33.87,254.23,431
1561.38,7160.84,431.74,16,5,18,1285.23,215.38,239,1,25.07,17.02,251.08,495
1573.15,7160.84,431.74,16,5,18,1285.23,215.38,240,1,25.07,45.25,262.85,500
1591.27,7160.84,431.74,16,5,18,1285.23,215.38,242,0,25.07,27.13,280.97,414
1583.01,75654.81,6113.57,12,1,13,1063.69,16.87,253,1,43.04,372.04,476.28,817
1464.08,75654.81,6113.57,12,1,16,1063.69,16.87,255,1,43.04,480.97,357.35,789
1681.22,75654.81,6113.57,12,1,14,1063.69,16.87,256,1,43.04,273.83,574.49,697
4721.66,58739.82,4961.99,28,5,20,4161.7,85.02,119,1,193.75,186.24,366.21,677
4718.98,20804.77,1436.73,30,5,22,4443.32,256.29,109,1,50.21,148.02,225.45,662
4789.06,20804.77,1436.73,30,5,22,4443.32,256.29,110,1,50.21,47.94,295.53,690
4789.1,20804.77,1436.73,30,5,22,4443.32,256.29,111,1,50.21,77.9,295.57,679
4709.09,20804.77,1436.73,30,5,22,4443.32,256.29,112,1,50.21,167.91,215.56,316
1076.33,52847.32,4607.94,13,2,14,517.77,11.76,259,0,57.66,162.24,500.9,816
1073.19,52847.32,4607.94,13,2,11,517.77,11.76,260,0,57.66,165.37,497.76,807
1156.58,52847.32,4607.94,13,2,11,517.77,11.76,261,0,57.66,71.98,581.15,703
723.53,52847.32,4607.94,13,2,11,517.77,11.76,265,0,57.66,545.04,148.1,635
5090.88,49354.08,3924.84,17,8,28,4747.62,115.43,73,1,213.4,339.23,129.86,511
2744.38,30884.06,2301.67,30,7,20,2336.66,90.79,237,1,150.69,112.44,257.03,451
5019.21,20057.71,1497.48,27,8,16,4649.72,278.18,80,1,99.94,40.26,269.55,329
1336.37,30662.18,2661.18,12,0,13,887.8,34.75,220,0,0,57.55,448.57,678
858.81,13566.77,1130.56,6,2,17,559.89,49.52,303,0,16.74,94.13,282.18,628
904.51,13566.77,1130.56,6,2,17,559.89,49.52,305,0,16.74,38.43,327.88,526
1628.73,14860.19,1320.35,9,3,19,1263.45,102.03,204,1,32.47,56.76,332.81,728
1577.18,14860.19,1320.35,9,3,19,1263.45,102.03,205,1,32.47,78.31,281.26,803
2390.47,121029.6,9878.8,12,2,3,1278.56,12.68,252,0,169.13,125.97,942.78,439
1682.47,121029.6,9878.8,12,2,1,1278.56,12.68,257,0,169.13,863.97,234.78,368
1793.33,39649.74,3078.15,5,0,9,1338.65,40.51,262,0,0,103.14,454.68,657
1912.76,126744.39,10545.03,1,4,7,839.57,7.95,375,0,313.94,231.31,759.25,832
451.79,22744.15,1910.35,14,0,14,116.17,6.13,350,1,0,145.41,335.62,753
530.48,22744.15,1910.35,14,0,11,116.17,6.13,357,1,0,56.73,414.31,697
1849.93,43832.92,3360.74,16,2,14,1441.58,39.47,207,1,65.38,187.73,342.97,758
55949.09,43832.92,3360.74,16,2,11,1441.58,39.47,208,1,54199,222.19,308.51,850
1713.27,43832.92,3360.74,16,2,14,1441.58,39.47,211,1,65.38,354.39,206.31,563
1543.29,28754.13,2479.18,11,3,17,1175.57,49.06,213,1,66.96,140.2,300.76,743
1430.09,28754.13,2479.18,11,3,19,1175.57,49.06,216,1,66.96,283.4,187.56,493
1506.34,28754.13,2479.18,11,3,17,1175.57,49.06,217,1,66.96,207.15,263.81,323
391,122503.12,9982.59,7,0,20,333.32,3.27,211,0,0,1230.58,57.68,472
3276.77,14447.52,1468.96,28,8,21,2956.15,245.54,115,1,55.57,86.28,265.05,664
3312.64,14447.52,1447.65,28,8,19,2956.15,245.54,120,1,76.88,101.72,279.61,717
1108.89,20975.4,1943.95,9,1,11,731.4,41.84,287,0,16.2,66.91,361.29,551
1121.17,20975.4,1943.95,9,1,11,731.4,41.84,288,0,16.2,74.63,373.57,642
1108.64,20975.4,1943.95,9,1,9,731.4,41.84,291,0,16.2,67.16,361.04,529
3413.31,64933.76,5368.15,33,4,19,2699.17,49.88,168,1,193.69,62.67,520.45,431
3431.73,64933.76,5368.15,33,4,19,2699.17,49.88,169,1,193.69,44.25,538.87,474
3148.97,64933.76,5368.15,33,4,19,2699.17,49.88,172,1,193.69,367.01,256.11,370
1131.92,46817.5,4142.46,10,4,14,613.71,15.73,206,0,106.18,146.03,412.03,658
1193.49,127284.18,10389.02,4,2,5,689.48,6.50,311,0,202.54,824.89,301.47,551
1777.45,127284.18,10389.02,4,2,6,689.48,6.50,314,0,202.54,200.93,885.43,567
1265.73,106141.53,8883.13,7,2,1,532.22,6.02,215,0,139.45,424.8,594.06,623
878.29,14475.14,1092.26,13,4,11,609.66,50.54,248,1,33.59,130.6,235.04,669
895.35,14475.14,1092.26,13,4,11,609.66,50.54,252,1,33.59,103.54,252.1,814
765.94,14802.98,1065.58,1,0,15,411.39,33.35,278,0,0,42,354.55,617
683.6,14802.98,1065.58,1,0,15,411.39,33.35,279,0,0,124.35,272.21,568
748.19,14802.98,1065.58,1,0,15,411.39,33.35,284,0,0,49.76,336.8,530
